2024-06-16 21:07:06.894 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.8942225
2024-06-16 21:07:06.909 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.9092855
2024-06-16 21:07:06.912 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.912085
2024-06-16 21:07:06.919 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.9190307
2024-06-16 21:07:06.932 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.9328773
2024-06-16 21:07:07.729 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572027.729127
2024-06-16 21:07:07.755 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572027.7553525
2024-06-16 21:07:08.766 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572028.7665892
2024-06-16 21:07:08.782 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572028.782813
2024-06-16 21:07:08.796 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572028.796098
2024-06-16 21:07:08.811 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572028.8118594
2024-06-16 21:07:08.832 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572028.8327355
2024-06-16 21:07:09.797 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572029.7972636
2024-06-16 21:07:11.579 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: minikube-m02, Timestamp: 1718572031.5790465
2024-06-16 21:07:11.584 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572031.584396
2024-06-16 21:07:11.587 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572031.5876136
2024-06-16 21:07:11.590 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572031.5905685
2024-06-16 21:07:11.606 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: minikube-m02, Timestamp: 1718572031.6060157
2024-06-16 21:07:37.049 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572057.0495834
2024-06-16 21:07:37.478 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572057.4788465
