2024-06-15 11:30:37.839 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-776d5d6cc7-5dfxg, Namespace: default, Node: minikube-m04, Timestamp: 1718451037.8396566
2024-06-15 11:30:42.123 Event: Pod Created, Pod: hello-5-instances-00001-deployment-588f9c84fc-f44m6, Namespace: default, Node: None, Timestamp: 1718451042.123094
2024-06-15 11:30:42.131 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-f44m6, Namespace: default, Node: minikube-m03, Timestamp: 1718451042.131568
2024-06-15 11:30:42.155 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-f44m6, Namespace: default, Node: minikube-m03, Timestamp: 1718451042.1554825
2024-06-15 11:30:42.230 Event: Pod Created, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: None, Timestamp: 1718451042.2309706
2024-06-15 11:30:42.238 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: minikube-m04, Timestamp: 1718451042.2382705
2024-06-15 11:30:42.245 Event: Pod Created, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: None, Timestamp: 1718451042.2453916
2024-06-15 11:30:42.247 Event: Pod Created, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: None, Timestamp: 1718451042.2475758
2024-06-15 11:30:42.253 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: minikube-m02, Timestamp: 1718451042.2538683
2024-06-15 11:30:42.256 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: minikube, Timestamp: 1718451042.2564175
2024-06-15 11:30:42.258 Event: Pod Created, Pod: hello-5-instances-00001-deployment-588f9c84fc-45gnq, Namespace: default, Node: None, Timestamp: 1718451042.2586951
2024-06-15 11:30:42.262 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-rlbnm, Namespace: default, Node: minikube-m04, Timestamp: 1718451042.2624335
2024-06-15 11:30:42.265 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-45gnq, Namespace: default, Node: minikube-m02, Timestamp: 1718451042.2652352
2024-06-15 11:30:42.273 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-ptnzp, Namespace: default, Node: minikube, Timestamp: 1718451042.2734344
2024-06-15 11:30:42.280 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: minikube-m02, Timestamp: 1718451042.2802885
2024-06-15 11:30:42.293 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-45gnq, Namespace: default, Node: minikube-m02, Timestamp: 1718451042.2936604
2024-06-15 11:30:43.255 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: minikube-m02, Timestamp: 1718451043.2551441
2024-06-15 11:30:43.269 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-r94l7, Namespace: default, Node: minikube-m02, Timestamp: 1718451043.269385
2024-06-15 11:30:43.702 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-588f9c84fc-f44m6, Namespace: default, Node: minikube-m03, Timestamp: 1718451043.7020469
