2024-06-16 23:03:48.743 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cb6bd849c-jws7x, Namespace: default, Node: minikube-m02, Timestamp: 1718579028.7432466
2024-06-16 23:03:58.389 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cb6bd849c-jws7x, Namespace: default, Node: minikube-m02, Timestamp: 1718579038.3893504
2024-06-16 23:03:58.437 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cb6bd849c-jws7x, Namespace: default, Node: minikube-m02, Timestamp: 1718579038.437772
2024-06-16 23:03:58.445 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cb6bd849c-jws7x, Namespace: default, Node: minikube-m02, Timestamp: 1718579038.4452283
2024-06-16 23:04:09.102 Event: Pod Created, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: None, Timestamp: 1718579049.1022592
2024-06-16 23:04:09.115 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.1153126
2024-06-16 23:04:09.137 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.137111
2024-06-16 23:04:09.218 Event: Pod Created, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: None, Timestamp: 1718579049.218579
2024-06-16 23:04:09.225 Event: Pod Created, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: None, Timestamp: 1718579049.225652
2024-06-16 23:04:09.227 Event: Pod Created, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: None, Timestamp: 1718579049.2277777
2024-06-16 23:04:09.232 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2320046
2024-06-16 23:04:09.236 Event: Pod Created, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: None, Timestamp: 1718579049.236964
2024-06-16 23:04:09.252 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2523172
2024-06-16 23:04:09.254 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2547061
2024-06-16 23:04:09.267 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2675388
2024-06-16 23:04:09.269 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2698812
2024-06-16 23:04:09.289 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2893205
2024-06-16 23:04:09.291 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.2918088
2024-06-16 23:04:09.301 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579049.3010929
2024-06-16 23:04:10.484 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.4846659
2024-06-16 23:04:10.499 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.4992812
2024-06-16 23:04:10.513 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.5135362
2024-06-16 23:04:10.528 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.5287194
2024-06-16 23:04:10.549 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.549319
2024-06-16 23:04:10.563 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579050.5635881
2024-06-16 23:04:18.997 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579058.9973066
2024-06-16 23:04:19.004 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579059.0047774
2024-06-16 23:04:19.007 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579059.0078733
2024-06-16 23:04:19.010 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579059.0108826
2024-06-16 23:04:19.014 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579059.0140193
2024-06-16 23:04:39.441 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579079.4413338
2024-06-16 23:04:39.552 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579079.5523098
2024-06-16 23:04:39.571 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579079.5714247
2024-06-16 23:04:39.584 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-mzzpp, Namespace: default, Node: minikube-m02, Timestamp: 1718579079.5840473
2024-06-16 23:04:39.608 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-2mjz5, Namespace: default, Node: minikube-m02, Timestamp: 1718579079.6079936
2024-06-16 23:04:49.374 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-qz4r7, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.3745646
2024-06-16 23:04:49.435 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-wgd2f, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.435649
2024-06-16 23:04:49.483 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-976cbc4d9-n787g, Namespace: default, Node: minikube-m02, Timestamp: 1718579089.4832864
